维度,指标,当前工程,对照工程,判定,证据等级,备注
计划治理,Docs文件数,107,6,当前更好,C,同目录统计
计划治理,STATUS.yaml,有,无,当前更好,B,状态权威文件
计划治理,status_snapshots数量,61,0,当前更好,B,阶段快照链
计划治理,decision_records数量,7,0,当前更好,B,关键决策可追溯
代码规模,valet_parking子树文件数,176,166,当前略优,A,总体规模接近
代码规模,valet_parking代码文档行数,63313,64146,对照略高,A,体量接近非决定项
结构演进,task_runtime_lite模块,有,无,当前更好,A,运行态职责外移证据
结构演进,stage_contract_lite模块,有,有,相当,A,双方都有
结构演进,stage_facade_lite模块,有,有,相当,A,双方都有
算法差异,当前独有文件数,3,2,当前略优,A,互斥文件统计
算法差异,对照geometry_path实现,无,有,对照局部更强,A,局部算法点
执行进展,批次化阶段记录,完整,较少,当前更好,B,当前有多批次状态串联
准确率(工程口径),流程复现+契约一致+可追溯,高,中,当前更好,A/B/C,非实车KPI
实车KPI准确率,统一A/B实测结论,暂无,暂无,暂无法判定,C,需补实车或高保真仿真
综合结论,总体优劣,更优,次优,当前更好,A/B/C,在你要求的交叉验证口径下成立
